Name,Latitude,Longitude,Receiver,Device_Depth,SyncTag,TagID,Start Time,STZ,End Time,ETZ,Args
R00,51.62243,-124.14305,101170,0.3,A69-1601-65089,65089,4/22/2014 21:14,0,5/3/2014 11:53,0,Derived
R00,51.62243,-124.14304,101170,0.3,A69-1601-65089,65089,5/3/2014 12:11,0,5/16/2014 10:19,0,Derived
R00,51.62242,-124.14303,101170,0.3,A69-1601-65089,65089,5/16/2014 10:59,0,5/20/2014 18:43,0,Derived
R01,51.62541,-124.14233,108651,0.4,A69-1601-65087,65087,4/19/2014 20:46,0,5/3/2014 11:53,0,Derived
R01,51.62542,-124.14237,108651,0.4,A69-1601-65087,65087,5/3/2014 12:11,0,5/20/2014 22:39,0,Derived
R02,51.6248,-124.14298,102263,0.4,A69-1601-65093,65093,4/19/2014 20:41,0,5/3/2014 11:53,0,Derived
R02,51.6248,-124.143,102263,0.4,A69-1601-65093,65093,5/3/2014 12:11,0,5/20/2014 22:36,0,Derived
R03,51.62458,-124.14203,105457,0.2,A69-1601-65079,65079,4/19/2014 20:34,0,5/3/2014 11:53,0,Derived
R03,51.62459,-124.14205,105457,0.2,A69-1601-65079,65079,5/3/2014 12:11,0,5/20/2014 22:32,0,Derived
R04,51.62418,-124.14317,108659,0.5,A69-1601-65090,65090,4/19/2014 20:30,0,5/3/2014 11:53,0,Derived
R04,51.62418,-124.14319,108659,0.5,A69-1601-65090,65090,5/3/2014 12:11,0,5/20/2014 22:29,0,Derived
R05,51.62363,-124.1424,108654,0.4,A69-1601-65091,65091,4/19/2014 20:25,0,5/3/2014 11:53,0,Derived
R05,51.62363,-124.14241,108654,0.4,A69-1601-65091,65091,5/3/2014 12:11,0,5/20/2014 22:25,0,Derived
R06,51.62316,-124.143,102264,0.2,A69-1601-65086,65086,4/19/2014 20:12,0,5/3/2014 11:53,0,Derived
R06,51.62316,-124.14302,102264,0.2,A69-1601-65086,65086,5/3/2014 12:11,0,5/20/2014 22:05,0,Derived
R07,51.62275,-124.14183,105458,0.6,A69-1601-65078,65078,4/19/2014 20:20,0,5/3/2014 11:53,0,Derived
R07,51.62276,-124.14183,105458,0.6,A69-1601-65078,65078,5/3/2014 12:11,0,5/5/2014 23:12,0,Derived
R08,51.62222,-124.14223,114734,0.4,A69-1601-65072,65072,4/19/2014 19:22,0,5/3/2014 11:53,0,Derived
R08,51.62223,-124.14221,114734,0.4,A69-1601-65072,65072,5/3/2014 12:11,0,5/16/2014 10:19,0,Derived
R08,51.62224,-124.1422,114734,0.4,A69-1601-65072,65072,5/16/2014 10:59,0,5/20/2014 18:49,0,Derived
R09,51.62163,-124.14469,124707,0.4,A69-1601-65088,65088,4/19/2014 18:27,0,5/3/2014 11:53,0,Derived
R09,51.62162,-124.14469,124707,0.4,A69-1601-65088,65088,5/3/2014 12:11,0,5/20/2014 18:38,0,Derived
R10,51.6214,-124.14334,120181,0.5,A69-1601-65069,65069,4/18/2014 23:23,0,5/3/2014 11:53,0,Derived
R10,51.6214,-124.14334,120181,0.5,A69-1601-65069,65069,5/3/2014 12:11,0,5/16/2014 10:19,0,Derived
R10,51.62139,-124.14334,120181,0.5,A69-1601-65069,65069,5/16/2014 10:59,0,5/20/2014 21:57,0,Derived
R11,51.62119,-124.14588,112313,1.6,A69-1601-65080,65080,4/19/2014 18:19,0,5/3/2014 11:53,0,Derived
R11,51.62117,-124.14588,112313,1.6,A69-1601-65080,65080,5/3/2014 12:11,0,5/20/2014 18:34,0,Derived
R12,51.62066,-124.14514,105459,0.3,A69-1601-65077,65077,4/18/2014 23:17,0,4/29/2014 12:42,0,Derived
R12,51.62066,-124.14514,105459,0.3,A69-1601-65077,65077,4/29/2014 13:55,0,5/3/2014 11:53,0,Derived
R12,51.62065,-124.14513,105459,0.3,A69-1601-65077,65077,5/3/2014 12:11,0,5/20/2014 21:50,0,Derived
R13,51.62046,-124.14702,108646,0.8,A69-1601-65082,65082,4/19/2014 18:11,0,5/3/2014 11:53,0,Derived
R13,51.62043,-124.147,108646,0.8,A69-1601-65082,65082,5/3/2014 12:11,0,5/20/2014 18:31,0,Derived
R14,51.61993,-124.14579,112334,0.5,A69-1601-65071,65071,4/18/2014 23:11,0,5/3/2014 11:53,0,Derived
R14,51.61992,-124.14574,112334,0.5,A69-1601-65071,65071,5/3/2014 12:11,0,5/20/2014 21:46,0,Derived
R15,51.6195,-124.14745,108653,2.3,A69-1601-65083,65083,4/19/2014 18:03,0,4/29/2014 12:42,0,Derived
R15,51.61949,-124.14744,108653,2.3,A69-1601-65083,65083,4/29/2014 13:55,0,5/3/2014 11:53,0,Derived
R15,51.61949,-124.14738,108653,2.3,A69-1601-65083,65083,5/3/2014 12:11,0,5/20/2014 18:27,0,Derived
R16,51.61898,-124.14674,112355,0.5,A69-1601-65066,65066,4/18/2014 23:05,0,5/3/2014 11:53,0,Derived
R16,51.61897,-124.14673,112355,0.5,A69-1601-65066,65066,5/3/2014 12:11,0,5/20/2014 21:39,0,Derived
R17,51.61882,-124.1487,108660,1.2,A69-1601-65092,65092,4/19/2014 17:50,0,5/3/2014 11:53,0,Derived
R17,51.61883,-124.14869,108660,1.2,A69-1601-65092,65092,5/3/2014 12:11,0,5/20/2014 18:24,0,Derived
R18,51.61808,-124.14747,119159,0.5,A69-1601-65073,65073,4/18/2014 22:55,0,5/3/2014 11:53,0,Derived
R18,51.61808,-124.14744,119159,0.5,A69-1601-65073,65073,5/3/2014 12:11,0,5/20/2014 21:32,0,Derived
R19,51.61788,-124.14985,112401,7.4,A69-1601-65075,65075,4/18/2014 20:32,0,5/3/2014 11:53,0,Derived
