Date,Hour,smolt_count,Time
2014-04-26,1,51604,00:00:00
2014-04-26,2,46897,01:00:00
2014-04-26,3,27230,02:00:00
2014-04-26,4,21307,03:00:00
2014-04-26,5,3620,04:00:00
2014-04-26,6,87,05:00:00
2014-04-26,7,0,06:00:00
2014-04-26,8,0,07:00:00
2014-04-26,9,0,08:00:00
2014-04-26,10,0,09:00:00
2014-04-26,11,0,10:00:00
2014-04-26,12,0,11:00:00
2014-04-26,13,0,12:00:00
2014-04-26,14,0,13:00:00
2014-04-26,15,0,14:00:00
2014-04-26,16,0,15:00:00
2014-04-26,17,0,16:00:00
2014-04-26,18,0,17:00:00
2014-04-26,19,0,18:00:00
2014-04-26,20,0,19:00:00
2014-04-26,21,0,20:00:00
2014-04-26,22,0,21:00:00
2014-04-26,23,1714,22:00:00
2014-04-26,24,1097,23:00:00
2014-04-27,1,1654,00:00:00
2014-04-27,2,1935,01:00:00
2014-04-27,3,1000,02:00:00
2014-04-27,4,233,03:00:00
2014-04-27,5,169,04:00:00
2014-04-27,6,0,05:00:00
2014-04-27,7,0,06:00:00
2014-04-27,8,0,07:00:00
2014-04-27,9,0,08:00:00
2014-04-27,10,0,09:00:00
2014-04-27,11,0,10:00:00
2014-04-27,12,0,11:00:00
2014-04-27,13,0,12:00:00
2014-04-27,14,0,13:00:00
2014-04-27,15,0,14:00:00
2014-04-27,16,0,15:00:00
2014-04-27,17,0,16:00:00
2014-04-27,18,0,17:00:00
2014-04-27,19,0,18:00:00
2014-04-27,20,0,19:00:00
2014-04-27,21,0,20:00:00
2014-04-27,22,0,21:00:00
2014-04-27,23,0,22:00:00
2014-04-27,24,0,23:00:00
2014-04-28,1,446911,00:00:00
2014-04-28,2,897983,01:00:00
2014-04-28,3,104285,02:00:00
2014-04-28,4,87762,03:00:00
2014-04-28,5,31813,04:00:00
2014-04-28,6,136721,05:00:00
2014-04-28,7,70732,06:00:00
2014-04-28,8,1631,07:00:00
2014-04-28,9,0,08:00:00
2014-04-28,10,0,09:00:00
2014-04-28,11,0,10:00:00
2014-04-28,12,0,11:00:00
2014-04-28,13,0,12:00:00
2014-04-28,14,0,13:00:00
2014-04-28,15,0,14:00:00
2014-04-28,16,0,15:00:00
2014-04-28,17,0,16:00:00
2014-04-28,18,0,17:00:00
2014-04-28,19,0,18:00:00
2014-04-28,20,0,19:00:00
2014-04-28,21,0,20:00:00
2014-04-28,22,133076,21:00:00
2014-04-28,23,500013,22:00:00
2014-04-28,24,360676,23:00:00
2014-04-29,1,177580,00:00:00
2014-04-29,2,146623,01:00:00
2014-04-29,3,64452,02:00:00
2014-04-29,4,35785,03:00:00
2014-04-29,5,25976,04:00:00
2014-04-29,6,108111,05:00:00
2014-04-29,7,14200,06:00:00
2014-04-29,8,0,07:00:00
2014-04-29,9,0,08:00:00
2014-04-29,10,0,09:00:00
2014-04-29,11,0,10:00:00
2014-04-29,12,0,11:00:00
2014-04-29,13,0,12:00:00
2014-04-29,14,0,13:00:00
2014-04-29,15,0,14:00:00
2014-04-29,16,0,15:00:00
2014-04-29,17,0,16:00:00
2014-04-29,18,0,17:00:00
2014-04-29,19,0,18:00:00
2014-04-29,20,0,19:00:00
2014-04-29,21,4041,20:00:00
2014-04-29,22,165852,21:00:00
2014-04-29,23,186100,22:00:00
2014-04-29,24,18397,23:00:00
2014-04-30,1,212,00:00:00
2014-04-30,2,0,01:00:00
2014-04-30,3,48660,02:00:00
2014-04-30,4,126521,03:00:00
2014-04-30,5,32869,04:00:00
