ID,AcousticID,DateTime,X,Y,D,Lat,Long,Easting,Northing,n,HPE,HPEm,DRX,URX,DateTimeUTC
Ref5,25316,2014-04-19T20:33:21Z,1261.56,1716.83,0.45,51.626059,-124.142171,420938.88740890456,5720066.5902652955,4,10.8,0.5,R04 R34 R35 R36 R37,R34 R35 R36 R37,2014-04-19T20:33:21Z
Ref4,65053,2014-04-19T20:36:28Z,848.31,854.41,0.61,51.618307,-124.148138,420512.31938521063,5719210.958546322,13,10.7,0.6,R15 R16 R17 R18 R19 R20,R15 R16 R17 R18 R19 R20,2014-04-19T20:36:28Z
Ref2,65056,2014-04-19T20:37:45Z,1218.05,1424.44,0.25,51.623431,-124.142799,420890.84796243755,5719775.008277389,1,12.4,3.2,R03 R05 R06 R07 R08 R37,R05 R06 R07,2014-04-19T20:37:45Z
Ref3,65055,2014-04-19T20:42:41Z,1099.66,1181.18,0.488,51.621244,-124.144509,420768.6692972787,5719533.643191449,3,11.1,0.3,R09 R10 R11 R12 R13,R09 R10 R11 R12,2014-04-19T20:42:41Z
Ref5,25316,2014-04-19T20:43:01Z,1261.62,1716.88,0.45,51.626059,-124.14217,420938.9566268424,5720066.589183395,4,10.8,0.4,R04 R34 R35 R36 R37,R34 R35 R36 R37,2014-04-19T20:43:01Z
Ref4,65053,2014-04-19T20:45:09Z,847.49,855.31,0.61,51.618316,-124.14815,420511.50435333507,5719211.972492302,7,10.9,0.6,R11 R16 R17 R18 R19 R20,R16 R17 R18 R19 R20,2014-04-19T20:45:09Z
Ref5,25316,2014-04-19T20:53:57Z,1261.88,1716.48,0.45,51.626056,-124.142166,420939.2282838268,5720066.25122374,7,10.7,0.7,R02 R03 R34 R35 R36 R37,R02 R03 R34 R35 R36 R37,2014-04-19T20:53:57Z
Ref3,65055,2014-04-19T20:54:19Z,1099.71,1180.45,0.488,51.621238,-124.144508,420768.7280723164,5719532.97484382,8,10.8,1,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T20:54:19Z
Ref4,65053,2014-04-19T21:03:46Z,848.4,854.65,0.61,51.61831,-124.148137,420512.3938563785,5719211.291090178,13,10.7,0.5,R15 R16 R17 R18 R19 R20,R15 R16 R17 R18 R19 R20,2014-04-19T21:03:46Z
Ref5,25316,2014-04-19T21:04:07Z,1261.91,1716.86,0.45,51.626059,-124.142166,420939.2334985922,5720066.584855801,9,10.6,0.3,R01 R02 R34 R35 R36 R37,R01 R02 R34 R35 R36 R37,2014-04-19T21:04:07Z
Ref3,65055,2014-04-19T21:05:51Z,1099.63,1180.92,0.488,51.621242,-124.144509,420768.66581387015,5719533.420770292,3,11.1,0.5,R09 R10 R11 R12 R13,R09 R10 R11 R12,2014-04-19T21:05:51Z
Ref5,25316,2014-04-19T21:12:44Z,1262,1717.32,0.45,51.626063,-124.142165,420939.3096695449,5720067.028616656,9,10.6,0.2,R01 R02 R34 R35 R36 R37,R01 R02 R34 R35 R36 R37,2014-04-19T21:12:44Z
Ref5,25316,2014-04-19T21:21:35Z,1262.14,1717.64,0.45,51.626066,-124.142162,420939.5225380862,5720067.359003038,9,10.6,0.5,R01 R02 R34 R35 R36 R37,R01 R02 R34 R35 R36 R37,2014-04-19T21:21:35Z
Ref4,65053,2014-04-19T21:24:31Z,847.57,855.42,0.61,51.618316,-124.148149,420511.5735830254,5719211.971404668,2,12.1,0.7,R11 R12 R16 R18 R19 R20,R16 R18 R19 R20,2014-04-19T21:24:31Z
Ref5,25316,2014-04-19T21:30:54Z,1262.07,1719.04,0.45,51.626079,-124.142164,420939.4066995154,5720068.806905764,7,10.6,1.9,R01 R02 R34 R35 R36 R37,R01 R02 R34 R35 R36 R37,2014-04-19T21:30:54Z
Ref4,65053,2014-04-19T21:36:01Z,847.51,855.78,0.61,51.61832,-124.14815,420511.5113420335,5719212.4173342725,2,12.2,1,R11 R12 R16 R18 R19 R20,R16 R18 R19 R20,2014-04-19T21:36:01Z
Ref3,65055,2014-04-19T21:38:35Z,1099.47,1181.11,0.488,51.621244,-124.144512,420768.4616215169,5719533.6464439295,7,10.8,0.3,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-19T21:38:35Z
Ref5,25316,2014-04-19T21:41:09Z,1262.38,1717.3,0.45,51.626063,-124.142159,420939.7249771341,5720067.022125301,8,10.7,0.5,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T21:41:09Z
Ref4,65053,2014-04-19T21:47:17Z,847.2,849.16,0.61,51.61826,-124.148154,420511.1295924957,5719205.749055281,1,22.2,5.8,R11 R12 R14 R15 R16 R17,R15 R16 R17,2014-04-19T21:47:17Z
Ref3,65055,2014-04-19T21:47:30Z,1099.63,1181.25,0.488,51.621245,-124.144509,420768.6710389829,5719533.754402028,8,10.8,0.2,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T21:47:30Z
Ref5,25316,2014-04-19T21:49:57Z,1262.28,1716.94,0.45,51.62606,-124.14216,420939.65054446395,5720066.689575128,9,10.6,0.4,R01 R02 R34 R35 R36 R37,R01 R02 R34 R35 R36 R37,2014-04-19T21:49:57Z
Ref3,65055,2014-04-19T21:56:57Z,1099.61,1181.16,0.488,51.621244,-124.14451,420768.6000720247,5719533.644275609,8,10.8,0.2,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T21:56:57Z
Ref5,25316,2014-04-19T21:59:08Z,1262.67,1715.74,0.45,51.626049,-124.142155,420939.9775135228,5720065.460848126,3,11.6,1.6,R02 R03 R35 R36,R02 R03 R35 R36,2014-04-19T21:59:08Z
Ref3,65055,2014-04-19T22:07:28Z,1099.53,1181.48,0.488,51.621247,-124.144511,420768.53607189463,5719533.978991504,8,10.8,0.1,R09 R10 R11 R12 R13 R14,R09 R10 R11 R12 R13 R14,2014-04-19T22:07:28Z
Ref5,25316,2014-04-19T22:09:06Z,1261.84,1716.84,0.45,51.626059,-124.142167,420939.1642806543,5720066.585937698,8,10.6,0.3,R01 R03 R34 R35 R36 R37,R01 R34 R35 R36 R37,2014-04-19T22:09:06Z
Ref3,65055,2014-04-19T22:16:48Z,1099.33,1180.97,0.488,51.621243,-124.144514,420768.3214292989,5719533.537401677,7,10.8,0.5,R08 R09 R10 R11 R12 R14,R08 R09 R10 R11 R12 R14,2014-04-19T22:16:48Z
